feature,weighted_z,subset
cf14g202,0.47542922478756927,10000-20000
cf18k182,0.4749301064253984,10000-20000
cf19l163,0.4721701866453088,0-10000
cw19l576,0.4641112197913482,0-10000
ch08b199,0.4624082750618753,30000-40000
cf17j487,0.4623017127244914,10000-20000
cf14g183,0.45997000811018585,10000-20000
cw20m005,0.4588091822616227,0-10000
sted_2019,0.4546097049596861,100000-104036
cs18k278,0.4499067064781327,0-10000
cf12e392,0.44593190378839087,10000-20000
cs17j199,0.4435156193735477,0-10000
cs15h448,0.4411933221042342,80000-90000
ch19l130,0.43839441745165003,0-10000
cw12e525,0.4363200686310415,100000-104036
ca08a003,0.4340695338651847,10000-20000
cf18k198,0.4298673931943239,10000-20000
ca18f060,0.4288670186987299,10000-20000
woning,0.42783558603671346,100000-104036
cf11d421,0.42773292939599306,10000-20000
cv20l301,0.4258620801981472,0-10000
ci20m322,0.42547593303269193,0-10000
cf16i389,0.420681683255218,10000-20000
cv17i249,0.4205587407561983,0-10000
oplcat_2014,0.4161721248972382,100000-104036
cw14g519,0.41517833199550774,100000-104036
ca14d009,0.41251485772796254,10000-20000
ch08b186,0.4092150493626437,0-10000
ca20g003,0.40915895423155924,10000-20000
belbezig_2016,0.40902171408829857,100000-104036
ch20m259,0.4084495249752948,0-10000
cs19l164,0.4082819688721454,0-10000
cw20m003,0.40628822049325736,0-10000
cf20m246,0.40429659514998295,10000-20000
cf20m004,0.40393319147238066,0-10000
cf20m186,0.40223389995048464,10000-20000
cw15h436,0.400867809692947,100000-104036
cd20m014,0.40053012311168096,0-10000
ch18k023,0.3995091444769127,30000-40000
oplcat_2017,0.39905341083871015,100000-104036
oplcat_2015,0.39849727033394433,100000-104036
ch18k130,0.39801964577133264,0-10000
belbezig_2017,0.39629587066577693,100000-104036
ca20g010,0.3959202628718255,10000-20000
cf18k451,0.3949255424078147,10000-20000
cv20l102,0.3949077287416435,60000-70000
cf14g184,0.3931630337281617,10000-20000
cf18k186,0.3919408910453461,10000-20000
cs17j165,0.3899497428546956,0-10000
cs19l423,0.3881784912747836,0-10000
cw16i005,0.3854585362576927,0-10000
cs20m387,0.3846785606446642,0-10000
ch17j190,0.3842752282378603,0-10000
cf20m242,0.38406586218461874,10000-20000
cw17j498,0.3840217549189524,100000-104036
cf20m243,0.3824794746736349,10000-20000
cf15h486,0.38136957859210513,10000-20000
cw20m601,0.37872221940693096,100000-104036
ca18f006,0.3784951418904114,10000-20000
cf20m029,0.3761611904968509,0-10000
cd15h009,0.3752798339598882,10000-20000
ca12c009,0.3734930906264531,10000-20000
cw14g427,0.3734685359046107,100000-104036
oplzon_2012,0.37220149618023474,100000-104036
cw13f459,0.3709670725969913,100000-104036
cw20m440,0.3704989860817197,100000-104036
ca08a009,0.3679301071904746,10000-20000
cr15h094,0.3648226348741335,60000-70000
cs19l232,0.362706708815526,0-10000
cw19l589,0.36252505218490616,100000-104036
cf16i400,0.3607960224364898,0-10000
cs18k164,0.36009949939698016,0-10000
cf20m022,0.3570122749416732,0-10000
cf13f421,0.3542907555283174,10000-20000
cs17j451,0.3512069344712509,80000-90000
oplzon,0.35076269959423145,100000-104036
cf17j029,0.35057959174155084,0-10000
ch12f236,0.35035716003818607,0-10000
cd20m009,0.3497210298492972,10000-20000
cf19l471,0.34945151605554214,10000-20000
cs20m494,0.3487879302117043,80000-90000
cw18k042,0.3461113638952909,0-10000
ch19l070,0.3458348127423136,30000-40000
cd19l009,0.3446914465369647,10000-20000
cf18k397,0.3408267719893587,0-10000
cs17j379,0.340796893103832,0-10000
cw18k008,0.3405503760243347,0-10000
ca16e068,0.33478608173057256,10000-20000
doetmee,0.3346654474308045,100000-104036
cs16i421,0.3336154801840427,0-10000
cs12e437,0.332024087777791,0-10000
sted_2016,0.33163301656130684,100000-104036
cf19l140,0.3272939151921863,0-10000
cd20m039,0.3239805485836776,0-10000
cp20l012,0.3226508245546758,30000-40000
ca14d003,0.3226231204315389,10000-20000
woonvorm_2014,0.32008575331478833,100000-104036
cr16i094,0.3200483980128449,60000-70000
cf13f422,0.3191286406942143,10000-20000
ca10b003,0.313520862737047,10000-20000
cw18k450,0.31345739220839636,100000-104036
cf16i005,0.3124224322469319,0-10000
ch20m149,0.31044678044794893,0-10000
ch17j100,0.308714183964723,30000-40000
cf09b397,0.30853075622879694,0-10000
belbezig_2018,0.30743346140574596,100000-104036
cv18j242,0.30638780077847716,60000-70000
cf12e192,0.30608521540385514,10000-20000
cp17i001,0.3056930037695101,30000-40000
cw16i436,0.304464674987803,100000-104036
ch13g133,0.3009498513598967,30000-40000
ci19l337,0.29999607064841255,0-10000
woonvorm_2018,0.29964191194033984,100000-104036
cf19l506,0.29933716766430846,10000-20000
cf20m504,0.2992559090320335,10000-20000
ch18k260,0.29777520970715277,30000-40000
ch20m206,0.29746619481593556,0-10000
netinc_2017,0.2971575765233826,0-10000
cf20m182,0.29667740672961596,10000-20000
ca18f001,0.29098035947159906,10000-20000
ch20m230,0.2904797432515976,0-10000
cw15h434,0.29028347603674803,100000-104036
cw17j496,0.28954366285472444,100000-104036
nettoink,0.28879506883454054,0-10000
ch11e173,0.2883196219925279,30000-40000
cw19l427,0.28790200822642326,100000-104036
cf20m216,0.28720074991569705,10000-20000
cf13f426,0.28662673803831307,10000-20000
cf15h512,0.28641210010175927,10000-20000
ca14d068,0.28546758996131844,10000-20000
cr17j042,0.28529121162341703,60000-70000
cf18k388,0.28514963028193485,10000-20000
cf16i504,0.285012616727376,10000-20000
cr13f082,0.28195085538816983,60000-70000
cw17j436,0.27976186897654387,100000-104036
cs18k177,0.2779505305874308,0-10000
cs20m415,0.2770266285781075,0-10000
cw19l591,0.27687509865972265,100000-104036
woonvorm_2020,0.27623088252705874,100000-104036
cw14g499,0.27615666081624884,100000-104036
burgstat_2013,0.2754644933102759,100000-104036
cf20m297,0.2749851198838331,10000-20000
cf15h004,0.27402565580759924,0-10000
cf20m251,0.27366802051983613,0-10000
cf18k486,0.2733624141722555,10000-20000
cw15h525,0.27292202084309514,100000-104036
ch19l263,0.2728423603771386,30000-40000
cf16i484,0.271455176692582,10000-20000
cf20m135,0.2708688441439525,0-10000
brutohh_f,0.2699383674779009,0-10000
cs20m523,0.2687014602450654,80000-90000
ca16e009,0.2657110039476248,10000-20000
cf18k392,0.264387102208342,10000-20000
cf20m183,0.2637643891019677,10000-20000
cf19l148,0.26268202950965597,0-10000
cv16h160,0.2604687136342944,0-10000
sted,0.2596255366577934,100000-104036
ch16i209,0.25907827137972184,0-10000
cw17j539,0.25894598253586787,100000-104036
ch20m105,0.25892329572006223,30000-40000
cf17j005,0.2585153896299424,0-10000
cf11d389,0.25650283595188594,10000-20000
ch19l033,0.2552975034041629,30000-40000
cw18k015,0.2542639093319621,80000-90000
ch20m100,0.25275549386092355,30000-40000
ca16e011,0.2515988815735716,10000-20000
ch18k100,0.2515452926228049,30000-40000
cw20m147,0.2513253189938675,0-10000
cw14g520,0.25065683618266116,100000-104036
cw10c525,0.25016410821940627,100000-104036
cd16i045,0.24880133970141044,10000-20000
cw17j537,0.24779070609184778,100000-104036
cf18k130,0.24746169918414623,0-10000
cv18j251,0.2472398533412819,0-10000
gender_bg,0.24691314602948294,100000-104036
sted_2012,0.24651035449368733,100000-104036
cs20m202,0.24208245825957417,0-10000
ch17j073,0.2418944048986169,30000-40000
cf20m507,0.24155988122305908,10000-20000
ch17j235,0.24072204639483125,30000-40000
cs19l267,0.24065230768218845,0-10000
cf20m031,0.24048091093798027,0-10000
cs20m379,0.2394254506984839,0-10000
cf17j022,0.23905980865054677,0-10000
cs16i410,0.23882461921873616,80000-90000
cw19l554,0.23854477477449643,100000-104036
cw18k520,0.23785186328397817,100000-104036
cf08a390,0.23545038372975158,10000-20000
cf08a388,0.23394193313803519,10000-20000
cr20m093,0.2334704119073546,60000-70000
cv20l200,0.2316296972298867,60000-70000
ch18k105,0.23065151747718793,30000-40000
cw14g035,0.23003370880589025,80000-90000
ch18k133,0.22949857054574058,30000-40000
cs15h330,0.2287170847241673,80000-90000
cs15h321,0.22858638223845523,80000-90000
cv20l308,0.22773284682906275,0-10000
cf19l241,0.22596411033536148,10000-20000
cv20l119,0.22578881616032984,60000-70000
ca12c013,0.22549257626052358,10000-20000
cr20m041,0.22400222784196228,60000-70000
cd20m026,0.2234321741963298,10000-20000
cs14g417,0.2224152430571357,80000-90000
ci20m236,0.22222055047526096,0-10000
aantalhh,0.2203374302754298,100000-104036
cr08a001,0.21969455195120868,60000-70000
ch13g011,0.2196609436592843,30000-40000
ch12f219,0.21924987973476534,30000-40000
cp13f005,0.21787663047696454,30000-40000
ci18k233,0.21725277890888894,0-10000
ca14d012,0.21632750989173097,0-10000
cw16i531,0.21623407431202674,100000-104036
woonvorm_2019,0.21560650773179466,100000-104036
cp20l010,0.21482357380236958,30000-40000
cv20l126,0.21404569199414197,60000-70000
cs20m329,0.21400705121535357,80000-90000
cv11d104,0.2139011354205508,60000-70000
cs18k276,0.213480097667971,0-10000
cf16i182,0.21316498424410293,10000-20000
cf16i147,0.21244299439082442,0-10000
cw17j538,0.21164622528096852,100000-104036
cw18k012,0.21142401414454298,80000-90000
cf19l507,0.2113764377457995,10000-20000
ch20m233,0.21088419114037632,30000-40000
cw20m586,0.2105881438047582,100000-104036
ca18f075,0.21044169492104073,0-10000
cr10c093,0.21006248688909154,60000-70000
cd14g018,0.20950890863636581,10000-20000
cw20m600,0.2092084585674416,0-10000
cf18k203,0.20905502252686126,10000-20000
cp19k010,0.20882496745803233,30000-40000
cd15h006,0.20799384343565738,10000-20000
cw14g498,0.20645975192449748,100000-104036
cw16i450,0.2064189985313846,100000-104036
cf17j454,0.20502566284467844,10000-20000
cd13f009,0.20497367007252765,10000-20000
cv20l221,0.20470580648887343,60000-70000
cd20m003,0.2031749548744541,10000-20000
cs20m191,0.20124114633400747,0-10000
cw18k498,0.20059100703397406,100000-104036
ca20g002,0.19995502644500268,10000-20000
cw20m603,0.19978450184287577,0-10000
ch19l031,0.1989470136891637,30000-40000
ch18k079,0.19861833155827258,30000-40000
cw20m000,0.1982466043101568,80000-90000
cf20m333,0.19735266777706575,10000-20000
cw10c479,0.19722345194061464,100000-104036
cw18k000,0.19641196307984038,80000-90000
cs20m279,0.19432057152817267,0-10000
ch15h020,0.19407814965738387,30000-40000
cf15h510,0.1932513670178386,10000-20000
cw11d459,0.19300032184156116,100000-104036
ch12f204,0.19298532574987695,30000-40000
cw20m435,0.19249950212113448,100000-104036
cw10c498,0.19221096334312016,100000-104036
cw18k497,0.1917456441707858,100000-104036
cp08a005,0.19152230229568357,30000-40000
cd17j002,0.1915130794799359,10000-20000
cs17j125,0.19136874594409736,0-10000
ch17j260,0.19116405565201217,30000-40000
cw20m582,0.19047523847535572,100000-104036
cv20l243,0.19015790248074038,0-10000
ca16e008,0.18968769418441117,10000-20000
cf20m335,0.18940370733135817,10000-20000
ch09c052,0.18793990268340202,30000-40000
cf19l185,0.18659135194208332,10000-20000
ch08b014,0.18549336116232074,30000-40000
cf20m486,0.18369759561216875,10000-20000
belbezig_2020,0.1829380742885354,100000-104036
ch18k229,0.1829244961033217,30000-40000
ch17j011,0.18262815262198356,30000-40000
cv14g127,0.18220229187584716,60000-70000
cv20l166,0.1815186950731754,60000-70000
cf17j019,0.1811814780829623,0-10000
cw20m592,0.18104532878348836,100000-104036
cs20m524,0.1809422135879685,80000-90000
cf18k519,0.1806231264316799,10000-20000
cv20l267,0.18008986331025786,60000-70000
cd18k030,0.17992285334147717,10000-20000
cf19l510,0.17865241068352544,10000-20000
cw20m604,0.17862318580326714,100000-104036
cr09b041,0.1777131834409719,60000-70000
ca18f056,0.1759140391181895,10000-20000
cv19k123,0.1755897244839888,60000-70000
cf12e401,0.17541672752301488,10000-20000
cv20l275,0.17515305005805176,60000-70000
ch17j097,0.1748548983852655,30000-40000
cw13f525,0.17466092327085653,100000-104036
cw20m576,0.17451594788168828,0-10000
ch20m070,0.17413789422070075,30000-40000
cf20m214,0.17388471598889219,10000-20000
nettohh_f_2010,0.17352558325336115,0-10000
cs09b185,0.17300221453956136,0-10000
cf09b421,0.17298079688590176,10000-20000
ch18k228,0.17269371029334346,30000-40000
cf15h402,0.17228713840469098,10000-20000
cs17j334,0.171489510939363,80000-90000
cr18k039,0.17002074283736493,60000-70000
cw18k428,0.1695873145646965,100000-104036
ch18k219,0.1693106110376694,30000-40000
cf17j392,0.16836842391050477,10000-20000
cf19l335,0.16810690367116446,10000-20000
ch18k263,0.16805234162207283,30000-40000
cr20m172,0.1677666214549581,70000-80000
cf20m247,0.1677504164175127,10000-20000
ch16i039,0.16699833519203133,30000-40000
cv20l212,0.1668448349848089,60000-70000
cs16i492,0.16671954760649588,80000-90000
ch16i204,0.16656386218173522,30000-40000
ch08b238,0.1663246642585437,30000-40000
cf13f389,0.16618633249558948,10000-20000
cf16i392,0.16616915649005287,10000-20000
cr18k094,0.16615913952869382,60000-70000
cw16i043,0.16553890360248424,80000-90000
cs18k485,0.16486568144883335,80000-90000
cw19l510,0.1647648117196834,100000-104036
cw10c523,0.1639561728102985,100000-104036
ch15h006,0.16356232067247453,30000-40000
