,feature,importance
0,cv20l001_Missing,15.670372009277344
1,cp20l153_Missing,13.632405281066895
2,cv16h051_2,13.253706932067871
3,cp09b178_2,12.19145393371582
4,cv11d031_6,10.89330005645752
5,cv20l008_Missing,10.705765724182129
6,cp17i201_4,10.502689361572266
7,cv19k066_0,10.361408233642578
8,cp14g166_7,10.160651206970215
9,cv12e038_4,10.063573837280273
10,cv19k067_0,9.989706993103027
11,cp14g174_1,9.896848678588867
12,cv18j048_1,9.633816719055176
13,cp14g178_7,9.580595016479492
14,cp14g180_7,9.568968772888184
15,cp17i186_3,9.537822723388672
16,cp19k207_2,9.45363712310791
17,cv20l050_1,9.434019088745117
18,cp13f208_2,9.382879257202148
19,cp08a155_1,9.34386157989502
20,cv14g013_7,9.31848430633545
21,cp11d164_5,9.244470596313477
22,cv08a020_8,9.222190856933594
23,cv16h047_1,9.042624473571777
24,cv17i051_2,8.870162963867188
25,cp13f168_3,8.772345542907715
26,cp08a164_1,8.762351036071777
27,cv13f039_7,8.739660263061523
28,cv10c051_2,8.725502967834473
29,cp18j154_5,8.638221740722656
30,cp17i178_4,8.614221572875977
31,cp17i159_5,8.561478614807129
32,cp14g172_2,8.524307250976562
33,cp20l188_5,8.512642860412598
34,cv14g028_7,8.509393692016602
35,cv20l050_2,8.416894912719727
36,cv12e022_Missing,8.415115356445312
37,cv11d042_7,8.393180847167969
38,cp09b162_1,8.349669456481934
39,cp18j201_5,8.347845077514648
40,cv20l009_Missing,8.335040092468262
41,cv20l035_8,8.250988006591797
42,cv11d033_6,8.167369842529297
43,cv14g036_4,8.13772201538086
44,cp08a157_1,8.109748840332031
45,cp19k188_3,8.096381187438965
46,cp17i199_5,8.083293914794922
47,cv08a080_6,8.076311111450195
48,cv20l048_1,8.06635570526123
49,cv19k067_1,8.012331008911133
50,cv14g001_4,7.939817428588867
51,cv16h019_5,7.921111106872559
52,cv20l066_0,7.8979411125183105
53,cv12e019_2,7.89263916015625
54,cp20l185_5,7.8666582107543945
55,cv17i039_4,7.843177795410156
56,cv11d051_1,7.793374061584473
57,groep_0,7.790719509124756
58,cv20l037_7,7.772636413574219
59,cv10c076_5,7.7720160484313965
60,cp14g171_7,7.76970911026001
61,cv18j003_1,7.741027355194092
62,cp19k186_4,7.729147911071777
63,cv11d021_5,7.724128246307373
64,cp20l198_1,7.664822101593018
65,cv14g049_1,7.662538051605225
66,cv20l052_2,7.654870986938477
67,cv19k038_8,7.617615699768066
68,cp17i156_2,7.599970817565918
69,cp19k162_5,7.597536087036133
70,cv18j051_2,7.574941158294678
71,cv14g039_6,7.497552394866943
72,cp19k200_2,7.496120452880859
73,cv11d049_2,7.495269775390625
74,cp19k204_2,7.467641353607178
75,cv10c027_6,7.466673851013184
76,cv17i050_2,7.408750534057617
77,cp18j170_2,7.366370677947998
78,cv20l029_8,7.353536605834961
79,cp17i204_1,7.350616455078125
80,cv08a058_Missing,7.333254337310791
81,cp17i157_3,7.292502403259277
82,cv17i041_8,7.28092098236084
83,cv13f018_6,7.2463154792785645
84,cv12e010_1,7.181504726409912
85,cp15h186_1,7.166027545928955
86,cv17i012_2,7.150163173675537
87,cv12e031_Missing,7.139327526092529
88,cv14g046_7,7.136971950531006
89,cv19k010_1,7.133817195892334
90,cp17i156_5,7.131311416625977
91,cp20l203_4,7.126439094543457
92,cv16h042_8,7.111382007598877
93,cv16h031_8,7.109079360961914
94,cv20l022_9,7.096838474273682
95,cv16h068_0,7.09338903427124
96,cv11d047_1,7.091749668121338
97,cp17i156_4,7.089311122894287
98,cv19k021_0,7.081462860107422
99,cv17i025_7,7.078920841217041
100,cv20l017_Missing,7.076791763305664
101,cv19k039_8,7.059922695159912
102,cv19k016_9,7.057145595550537
103,cv20l014_7,7.045546054840088
104,cv19k015_8,7.036424160003662
105,cp13f179_5,7.028695583343506
106,cp09b175_6,7.008457183837891
107,cv12e043_5,7.004792213439941
108,cv19k044_6,6.9993791580200195
109,cp20l201_5,6.994610786437988
110,cp19k164_5,6.992393970489502
111,cv18j042_7,6.975193023681641
112,cv20l052_1,6.968093395233154
113,cp20l160_1,6.964461326599121
114,cp08a154_1,6.958324432373047
115,cp09b181_4,6.919244289398193
116,cp11d178_6,6.9182329177856445
117,cp20l207_3,6.908576488494873
118,cp17i199_3,6.906455993652344
119,cv16h003_0,6.889846324920654
120,cv12e034_4,6.859477996826172
121,cp14g169_1,6.8405961990356445
122,cv18j042_6,6.83096170425415
123,cp09b178_3,6.822127342224121
124,cv12e012_3,6.805868625640869
125,cv16h032_4,6.804257392883301
126,cv12e053_1,6.769832134246826
127,cv13f032_Missing,6.748385429382324
128,cv19k014_6,6.716437339782715
129,cv20l041_9,6.6978936195373535
130,cv16h068_1,6.6918253898620605
131,cv18j001_3,6.6816229820251465
132,cv19k041_8,6.6774420738220215
133,cv19k042_5,6.675956726074219
134,cp12e199_3,6.674328327178955
135,cp19k159_2,6.6741437911987305
136,cp15h204_4,6.660405158996582
137,cv19k026_7,6.653863430023193
138,cp09b156_4,6.647630214691162
139,cp15h197_Missing,6.642183780670166
140,cp20l203_3,6.631491184234619
141,cv14g022_6,6.620264053344727
142,cv16h020_9,6.617593288421631
143,cp14g180_6,6.613044261932373
144,cp15h170_1,6.604940414428711
145,cp19k164_1,6.603076457977295
146,cv18j049_2,6.590317249298096
147,cv14g052_1,6.583138465881348
148,cp08a176_6,6.570537567138672
149,cp17i182_2,6.570168972015381
150,cv17i049_1,6.568705081939697
151,cv16h049_1,6.5488996505737305
152,cv19k009_3,6.541264533996582
153,cv20l019_3,6.540879249572754
154,cv14g070_0,6.528864860534668
155,cp19k154_3,6.521448135375977
156,cv20l046_Missing,6.51646614074707
157,cv10c063_3,6.489283084869385
158,cp14g171_4,6.46809720993042
159,cv16h019_7,6.464986801147461
160,cv16h009_3,6.462482452392578
161,cv14g033_6,6.462248802185059
162,cv19k027_Missing,6.448415756225586
163,cv14g016_9,6.441031455993652
164,cp14g168_4,6.433931350708008
165,cv10c002_1,6.424591064453125
166,cp20l187_4,6.417239665985107
167,cv18j010_3,6.415933609008789
168,cv10c043_3,6.403774261474609
169,cv20l003_0,6.402182579040527
170,cv14g021_6,6.39327335357666
171,cp11d161_6,6.372750282287598
172,cp13f175_4,6.366978645324707
173,cv16h027_8,6.352372646331787
174,cp14g159_3,6.32320499420166
175,cv18j024_9,6.322216033935547
176,cp17i157_5,6.311434268951416
177,cv18j020_6,6.300532341003418
178,cp08a187_3,6.285720348358154
179,cp18j203_2,6.281201362609863
180,cv19k039_6,6.265369415283203
181,cv19k070_0,6.234421730041504
182,cv17i038_6,6.2169647216796875
183,cv19k016_0,6.213478088378906
184,cv10c050_1,6.21165657043457
185,cp11d194_3,6.205114364624023
186,cv18j030_8,6.203566551208496
187,cp17i187_4,6.200782775878906
188,cv17i021_4,6.18182897567749
189,cv19k018_5,6.172008514404297
190,cp17i206_2,6.169122219085693
191,cv12e029_2,6.1665496826171875
192,cv10c024_7,6.149085998535156
193,cv18j008_1,6.147538661956787
194,cp17i182_5,6.1386284828186035
195,cv18j031_6,6.138522624969482
196,cp17i178_5,6.1371660232543945
197,cp17i203_5,6.135950565338135
198,cp18j187_5,6.127629280090332
199,cv16h033_2,6.125744819641113
200,cv19k066_1,6.125094890594482
201,cv10c046_7,6.124301910400391
202,cp14g202_4,6.120119094848633
203,cp18j204_3,6.1198883056640625
204,cp19k162_6,6.113099098205566
205,cv18j047_2,6.1092529296875
206,cv12e043_4,6.107512950897217
207,cv08a001_2,6.106520652770996
208,cp14g181_7,6.096773147583008
209,cv20l047_1,6.09488582611084
210,cp18j205_4,6.093201160430908
211,cp17i181_4,6.080112457275391
212,cp15h202_4,6.078800678253174
213,cv20l021_Missing,6.075721740722656
214,cp14g162_5,6.075422763824463
215,cv17i037_8,6.059988498687744
216,cp14g173_5,6.054218292236328
217,cp15h207_5,6.039547920227051
218,cv19k015_7,6.033330917358398
219,cp11d177_4,6.028688430786133
220,cv20l071_1,6.0242533683776855
221,cv20l022_5,6.021005153656006
222,cv17i053_1,6.011493682861328
223,cv19k009_2,6.010546684265137
