,feature,importance
0,cf20m130,31.158550262451172
1,cf20m001_Missing,13.92566967010498
2,ca20g001_Missing,13.055706024169922
3,cf20m388_Missing,11.48334789276123
4,woonvorm_2015_3,10.459749221801758
5,cf20m025_1,10.042725563049316
6,ca20g008_Missing,9.808265686035156
7,lftdcat_3,9.795196533203125
8,nettoink_2015,9.426122665405273
9,burgstat_5,8.324440002441406
10,cf19l130,8.154365539550781
11,burgstat_2020_1,8.027643203735352
12,cf20m240_0,7.8901519775390625
13,cf17j130,7.628175258636475
14,cf19l128_2,7.52115535736084
15,ci20m002,7.461357593536377
16,cd20m038_5,7.276170253753662
17,cf17j143_1,7.2382731437683105
18,age_imp,7.192346572875977
19,cf18k218_Missing,7.102073669433594
20,ca20g080_2,6.929003715515137
21,cf19l128_Missing,6.81276273727417
22,cf20m128_2,6.604152679443359
23,cd20m034,6.486056804656982
24,sted_2019_1,6.398561954498291
25,cf20m193_Missing,6.38029670715332
26,cf10c025_2,6.087324142456055
27,cf18k031,6.078522205352783
28,cf20m024_2,6.025630474090576
29,ch20m219_0,6.009395122528076
30,cw20m002,5.973087787628174
31,cw14g384,5.727112293243408
32,cf18k128_2,5.671380996704102
33,lftdhhh,5.635799407958984
34,ci20m326,5.581973552703857
35,cf20m185_Missing,5.514486312866211
36,brutoink_f_2015,5.356127738952637
37,cf18k252_1,5.352559566497803
38,woning_2020_2,5.264636516571045
39,cf19l484_2,5.242648124694824
40,cf18k198_Missing,5.172786712646484
41,cw15h438_1,5.144674301147461
42,nettoink_2020,5.08682918548584
43,cw16i519_1,5.054481506347656
44,ch17j213,5.045110702514648
45,cf20m388_3,4.983064651489258
46,cf20m238_Missing,4.963154315948486
47,cf20m166_Missing,4.927432060241699
48,cf20m025_2,4.9118804931640625
49,ch08b236,4.790709018707275
50,cf20m202_Missing,4.757425308227539
51,cv18j160,4.676275730133057
52,burgstat_2020_5,4.664709091186523
53,cf19l218_Missing,4.639559268951416
54,cf14g017_Missing,4.631132125854492
55,cf20m_m,4.591123104095459
56,cw18k434_1,4.530745506286621
57,ch20m002,4.5167951583862305
58,woonvorm_2010_4,4.432088851928711
59,cs19l277,4.3755621910095215
60,ca20g001_0,4.370924472808838
61,ci11d005,4.359172821044922
62,cd15h008,4.3392534255981445
63,cs17j_m,4.327810287475586
64,nettohh_f,4.277278423309326
65,cf18k454_1,4.261600971221924
66,cf20m001_16,4.227691173553467
67,cf17j143_3,4.198275089263916
68,cw14g496_1,4.18001127243042
69,brutoink_f_2014,4.146478176116943
70,cf17j487_5,4.128345966339111
71,brutoink_f_2017,4.095869064331055
72,cw14g382,4.080962181091309
73,cf19l486_4,4.012127876281738
74,belbezig_2014_Missing,4.010235786437988
75,cd20m038_4,3.9883596897125244
76,partner_2020_1,3.9647364616394043
77,oplcat_2020_5,3.9595444202423096
78,cr20m120,3.944746971130371
79,cs20m438,3.9314255714416504
80,cs20m281,3.9277725219726562
81,cs17j199,3.910353183746338
82,cf20m526_5,3.8997585773468018
83,cf17j483_3,3.8917274475097656
84,cf11d432_4,3.8875532150268555
85,cf17j143_Missing,3.8818485736846924
86,cw20m045,3.8786821365356445
87,cf20m238_0,3.849320650100708
88,birthyear_bg,3.839249610900879
89,cw15h150,3.8357558250427246
90,cf19l484_Missing,3.8019440174102783
91,cw20m572_1,3.791754961013794
92,cf20m253_Missing,3.759748697280884
93,cf19l432_4,3.7202534675598145
94,cf18k297_Missing,3.6736562252044678
95,oplcat_2020_4,3.671696662902832
96,cd16i008,3.6705610752105713
97,sted_2020_5,3.6450414657592773
98,oplcat_2011_2,3.6423230171203613
99,cs18k124,3.5892255306243896
100,oplzon_2015_5,3.580582857131958
101,cf18k485_3,3.575777530670166
102,cf18k128_Missing,3.5631206035614014
103,cf20m003_1,3.5370306968688965
104,ch17j145,3.5233490467071533
105,cf18k454_Missing,3.446397066116333
106,ch16i185,3.413029193878174
107,cf11d416,3.4121134281158447
108,woonvorm_2015_2,3.4013423919677734
109,ca20g008_0,3.3912696838378906
110,cf20m185_2,3.3596081733703613
111,cw14g496_Missing,3.3380439281463623
112,cf13f423_Missing,3.3303699493408203
113,cd20m038_Missing,3.325660228729248
114,ch20m219_1,3.3240602016448975
115,cf19l165_2,3.3096437454223633
116,oplzon_2015_4,3.3006560802459717
117,cw16i500_2,3.291053056716919
118,cf17j004,3.2898380756378174
119,cf11d432_3,3.2570385932922363
120,ca18f060_Missing,3.2329673767089844
121,partner_2020_0,3.2053475379943848
122,ch13g201,3.1946663856506348
123,ca18f060_1,3.1742382049560547
124,oplzon_2017_4,3.1588797569274902
125,cf19l397,3.1580734252929688
126,netinc,3.132891893386841
127,positie_5,3.125772476196289
128,cw16i426_3,3.1189355850219727
129,cs18k279,3.114922046661377
130,cf20m184_1,3.0889089107513428
131,cs18k278,3.082456111907959
132,cf20m488_4,3.0765604972839355
133,cf19l128_1,3.0746910572052
134,belbezig_2015_1,3.034224033355713
135,ca14d054_Missing,3.03173565864563
136,cw20m005,3.0254878997802734
137,cw15h438_Missing,3.0250003337860107
138,ca18f060_0,3.0185084342956543
139,cf19l485_2,3.0159358978271484
140,cr18k120,3.0120697021484375
141,nomem_encr,3.0092036724090576
142,cw20m611,3.007857322692871
143,cf18k489_1,2.979346990585327
144,cw15h438_0,2.974081039428711
145,cf20m003_2,2.952623128890991
146,cf10c025_Missing,2.947274684906006
147,belbezig_1,2.933964252471924
148,cf19l137_1,2.933217763900757
149,cf19l400,2.9299983978271484
150,oplcat_2018_6,2.920358180999756
151,cf20m388_4,2.908508062362671
152,ch19l130,2.8997151851654053
153,cw14g496_3,2.846134662628174
154,cf20m488_1,2.837653636932373
155,oplcat_2020_6,2.823622465133667
156,cf20m185_1,2.8224635124206543
157,oplcat_2011_Missing,2.821164608001709
158,cf19l193_2,2.8031165599823
159,oplzon_2016_5,2.796992540359497
160,cw18k434_3,2.7886950969696045
161,sted_2019_3,2.781585216522217
162,nettohh_f_2020,2.7724742889404297
163,ca20g075,2.766731023788452
164,woonvorm_2015_4,2.735215187072754
165,cd14g034,2.7324366569519043
166,cf18k487_3,2.715548515319824
167,oplcat_2020_1,2.709623336791992
168,oplzon_2016_6,2.702680826187134
169,ch18k_m,2.7019236087799072
170,oplcat_2018_4,2.6944358348846436
171,cs18k243,2.692854166030884
172,cv19k160,2.688934326171875
173,cf19l484_1,2.665327310562134
174,ci10c322,2.6552984714508057
175,cf17j487_2,2.649181604385376
176,cv19k303,2.6455917358398438
177,cv20l303,2.6447770595550537
178,cf20m164_3,2.642488956451416
179,cs17j124,2.63319730758667
180,oplcat_2011_1,2.6229968070983887
181,cf20m488_3,2.615571975708008
182,cf17j487_3,2.5983853340148926
183,cd20m025,2.5979583263397217
184,cf20m128_1,2.589087724685669
185,sted_2019_2,2.581650733947754
186,cf20m526_3,2.5428712368011475
187,werving_7,2.5412535667419434
188,sted_2019_5,2.512922763824463
189,cd16i002_7,2.4967234134674072
190,woning_2015_1,2.4920971393585205
191,cw20m572_0,2.475294828414917
