,feature,importance
0,cr20m172_0,22.383955001831055
1,cs16i082_2,20.257976531982422
2,cs17j038_1,13.79265308380127
3,cr17j102_2,13.592546463012695
4,cs16i077_2,13.450159072875977
5,cr20m168_0,12.841442108154297
6,cs11d261_1,12.702346801757812
7,cs08a090_2,12.423421859741211
8,cr17j103_2,12.393620491027832
9,cs09b056_1,12.249946594238281
10,cs20m026_0,12.23228645324707
11,cs12e157_2,12.226311683654785
12,cs16i040_0,12.207696914672852
13,cs08a090_1,11.87236213684082
14,cr08a113_4,11.867542266845703
15,cr15h107_3,11.85879135131836
16,cr13f109_4,11.602997779846191
17,cs17j040_0,11.545493125915527
18,cs17j146_2,11.505597114562988
19,cr16i105_3,11.43069076538086
20,cs09b118_0,11.380375862121582
21,cs17j039_0,11.151787757873535
22,cs17j292_Missing,11.070332527160645
23,cs16i144_2,11.057695388793945
24,cs16i143_2,10.962754249572754
25,cs20m040_0,10.92075252532959
26,cs17j155_2,10.758149147033691
27,cs20m004_0,10.518400192260742
28,cr14g102_1,10.466428756713867
29,cs19l159_2,10.465348243713379
30,cs11d255_1,10.440187454223633
31,cs12e139_2,10.289972305297852
32,cs15h033_1,10.261073112487793
33,cr19l134_2,10.244527816772461
34,cs09b053_0,10.153044700622559
35,cs17j130_2,10.033975601196289
36,cs15h286_1,9.999245643615723
37,cs11d028_0,9.849405288696289
38,cs16i265_2,9.819128036499023
39,cr19l112_3,9.78623104095459
40,cs15h013_1,9.77836799621582
41,cr14g105_Missing,9.77590560913086
42,cs13f147_2,9.753543853759766
43,cs12e095_3,9.737987518310547
44,cs20m018_1,9.666484832763672
45,cs15h122_0,9.621575355529785
46,cs17j029_0,9.503994941711426
47,cs18k283_8,9.4830322265625
48,cs09b148_2,9.478795051574707
49,cs19l153_1,9.433210372924805
50,cs18k036_0,9.424176216125488
51,cs13f261_2,9.423582077026367
52,cs17j262_1,9.388151168823242
53,cr20m170_0,9.385710716247559
54,cs11d007_1,9.324198722839355
55,cs20m063_2,9.320021629333496
56,cs20m023_1,9.29926586151123
57,cr17j103_Missing,9.189594268798828
58,cr17j111_1,9.1184720993042
59,cr11d109_3,9.108695983886719
60,cs16i262_2,9.07420539855957
61,cs08a255_1,8.986663818359375
62,cs20m042_1,8.981231689453125
63,cs17j041_0,8.93793773651123
64,cs14g084_1,8.929059982299805
65,cs13f264_2,8.832831382751465
66,cs14g318_1,8.825111389160156
67,cs09b143_2,8.797130584716797
68,cs20m026_1,8.766010284423828
69,cs17j305_2,8.74374008178711
70,cs18k132_2,8.740730285644531
71,cs20m006_0,8.708059310913086
72,cs13f106_1,8.699670791625977
73,cs19l290_5,8.696416854858398
74,cs14g003_1,8.684497833251953
75,cs20m285_1,8.665257453918457
76,cr19l162_1,8.633935928344727
77,cr19l165_0,8.622896194458008
78,cs08a114_0,8.612630844116211
79,cs19l005_0,8.544410705566406
80,cs17j090_2,8.525197982788086
81,cs11d310_1,8.507853507995605
82,cs14g055_1,8.50657844543457
83,cs20m099_2,8.502277374267578
84,cs17j285_1,8.501890182495117
85,cs14g263_2,8.462594985961914
86,cs14g293_2,8.393404006958008
87,cs15h319_2,8.38775634765625
88,cs16i298_0,8.385061264038086
89,cr15h106_3,8.374000549316406
90,cr15h100_2,8.318098068237305
91,cr20m175_0,8.262336730957031
92,cr16i103_2,8.214621543884277
93,cs15h062_1,8.187406539916992
94,cs15h084_2,8.18128776550293
95,cr20m142_6,8.17917537689209
96,cs20m287_2,8.16612434387207
97,cr13f100_1,8.125710487365723
98,cs19l001_2,8.120122909545898
99,cs17j002_7,8.115373611450195
100,cs16i088_2,8.091936111450195
101,cs20m028_1,7.954834938049316
102,cs12e264_2,7.932375907897949
103,cs15h048_1,7.907015323638916
104,cs13f116_0,7.9069976806640625
105,cs16i154_1,7.890331268310547
106,cr17j099_3,7.86596155166626
107,cs14g090_2,7.851263046264648
108,cs19l307_1,7.800055503845215
109,cs20m164_99,7.794018745422363
110,cs17j002_10,7.779764175415039
111,cs18k106_0,7.745631694793701
112,cs18k265_2,7.723351001739502
113,cr17j112_4,7.704587459564209
114,cs20m169_99,7.694561958312988
115,cs16i041_0,7.68522310256958
116,cr18k108_2,7.63340950012207
117,cs20m029_0,7.631026268005371
118,cr16i102_2,7.620288372039795
119,cr12e099_2,7.61610221862793
120,cs17j038_0,7.541707992553711
121,cs14g039_1,7.516623020172119
122,cs16i029_1,7.5159912109375
123,cs19l002_6,7.5021257400512695
124,cr20m143_2,7.498044967651367
125,cs08a306_3,7.491181373596191
126,cs18k316_2,7.484048843383789
127,cs20m169_1,7.480271339416504
128,cr19l155_0,7.458359718322754
129,cs19l088_2,7.457751750946045
130,cs16i028_0,7.428281784057617
131,cs20m100_0,7.426685333251953
132,cs19l121_1,7.418285846710205
133,cs20m118_0,7.381207466125488
134,cs17j299_1,7.3699493408203125
135,cs18k067_1,7.368300437927246
136,cs20m093_0,7.35591983795166
137,cs13f038_1,7.350907802581787
138,cs16i136_1,7.344642162322998
139,cs15h312_3,7.342086315155029
140,cs19l029_0,7.308082103729248
141,cs12e138_1,7.302290439605713
142,cs16i266_1,7.298163414001465
143,cs15h032_1,7.289658546447754
144,cs20m062_0,7.283358097076416
145,cr19l144_10,7.282503604888916
146,cr18k101_2,7.262115001678467
147,cs18k098_3,7.260836124420166
148,cs19l029_1,7.2411956787109375
149,cs17j033_0,7.220555305480957
150,cs18k292_3,7.190342903137207
151,cs13f023_1,7.188175201416016
152,cs20m291_7,7.170909881591797
153,cs11d257_2,7.14612340927124
154,cr18k109_2,7.143426895141602
155,cr15h109_1,7.10707950592041
156,cs20m103_1,7.104223728179932
157,cs15h103_3,7.064152240753174
158,cs18k291_3,7.016274452209473
159,cr15h106_Missing,7.011340141296387
160,cs19l298_1,7.006877899169922
161,cr15h107_2,6.978386878967285
162,cs16i004_1,6.9678449630737305
163,cr17j099_Missing,6.958372116088867
164,cs18k102_1,6.95359468460083
165,cs10c257_2,6.940413475036621
166,cr20m142_3,6.932720184326172
167,cs09b253_2,6.915812969207764
168,cs12e309_1,6.9142303466796875
169,cs20m305_Missing,6.913362503051758
170,cs13f007_0,6.913106918334961
171,cs20m305_1,6.899979591369629
172,cs19l260_1,6.899919033050537
173,cs18k313_1,6.894580841064453
174,cs14g138_1,6.885121822357178
175,cs19l288_2,6.878720283508301
176,cs16i315_1,6.828621864318848
177,cs16i001_6,6.820388317108154
178,cs20m101_0,6.818655967712402
179,cs19l099_2,6.814019203186035
180,cs08a261_1,6.790141582489014
181,cs20m042_0,6.784303665161133
182,cs16i005_1,6.773460388183594
183,cs16i261_1,6.726819038391113
184,cs11d006_1,6.722782135009766
185,cr18k102_2,6.713250160217285
186,cs17j306_1,6.70537805557251
187,cs14g056_0,6.6994547843933105
