,feature,importance
0,cv20l102_Missing,18.591724395751953
1,cr20m093_4,15.912221908569336
2,cr13f082_0,14.597393035888672
3,cr15h094_1,13.619451522827148
4,cv18j242_1,13.55898666381836
5,cr20m041_6,13.530044555664062
6,cr17j042_7,13.358373641967773
7,cv20l200_2,12.611217498779297
8,cv20l166_Missing,12.584272384643555
9,cv11d104_4,11.911471366882324
10,cv20l116_3,10.829073905944824
11,cv14g127_4,10.660318374633789
12,cr16i094_1,10.533198356628418
13,cr09b041_7,10.483133316040039
14,cr18k041_7,10.243453979492188
15,cr10c093_1,10.192445755004883
16,cv20l212_Missing,10.170869827270508
17,cv16h131_2,9.996230125427246
18,cr20m042_6,9.971807479858398
19,cv19k306_Missing,9.729393005371094
20,cr18k094_1,9.6558837890625
21,cv11d152_3,9.576759338378906
22,cr17j002_Missing,9.57573127746582
23,cv09b133_2,9.386926651000977
24,cv09b154_3,9.279990196228027
25,cr20m083_0,9.213227272033691
26,cv14g113_2,9.044489860534668
27,cr16i094_4,9.036700248718262
28,cr08a001_7,8.84649658203125
29,cr17j001_7,8.684441566467285
30,cv13f117_3,8.594935417175293
31,cv17i227_5,8.541658401489258
32,cv19k280_3,8.508798599243164
33,cv17i269_0,8.468454360961914
34,cv20l275_3,8.305289268493652
35,cv09b123_3,8.296555519104004
36,cv19k285_3,8.23917007446289
37,cv11d103_3,8.222658157348633
38,cr08a034_3,8.200004577636719
39,cv19k125_2,8.1475248336792
40,cr13f036_Missing,8.122119903564453
41,cv20l120_3,8.121267318725586
42,cv20l119_3,8.062444686889648
43,cr09b001_7,7.888304710388184
44,cv18j154_1,7.887672424316406
45,cv19k267_7,7.871485710144043
46,cr13f094_1,7.865642547607422
47,cr16i039_3,7.792247295379639
48,cv14g214_1,7.749973297119141
49,cr15h094_4,7.717685699462891
50,cr13f039_2,7.706504821777344
51,cv20l314_4,7.705620765686035
52,cr12e041_7,7.694426536560059
53,cr13f096_Missing,7.694279670715332
54,cv20l267_7,7.659651279449463
55,cv09b145_1,7.641152858734131
56,cv17i158_3,7.627671718597412
57,cv17i200_2,7.595653533935547
58,cv14g130_2,7.578410625457764
59,cv16h116_3,7.525455474853516
60,cr08a096_Missing,7.458768367767334
61,cv19k230_5,7.411183834075928
62,cv11d106_1,7.4020094871521
63,cv18j224_0,7.378079891204834
64,cv19k267_2,7.347739219665527
65,cv20l221_3,7.340732097625732
66,cv19k200_2,7.336951732635498
67,cv18j101_3,7.325089931488037
68,cv12e151_2,7.298911094665527
69,cv19k122_3,7.281785488128662
70,cv14g230_6,7.280100345611572
71,cr18k039_2,7.269189834594727
72,cv14g205_2,7.250521183013916
73,cr12e012_2,7.216346263885498
74,cv10c144_2,7.189807891845703
75,cv19k133_5,7.17573356628418
76,cv20l220_4,7.161537170410156
77,cv19k286_3,7.161373138427734
78,cv16h199_2,7.161308288574219
79,cv11d108_4,7.132788181304932
80,cr14g030_5,7.132578372955322
81,cr20m081_0,7.129661560058594
82,cv20l126_5,7.113466739654541
83,cv18j120_3,7.0924506187438965
84,cv18j306_0,7.0888824462890625
85,cv12e113_1,7.063520431518555
86,cv20l139_2,7.056293487548828
87,cv20l102_5,7.028526782989502
88,cv20l122_3,6.999610424041748
89,cr15h001_4,6.977643013000488
90,cv11d119_3,6.970451354980469
91,cv18j116_3,6.960418224334717
92,cr16i001_1,6.947913646697998
93,cv18j141_5,6.944286346435547
94,cv11d156_5,6.938179016113281
95,cr20m080_0,6.904459476470947
96,cv17i104_2,6.891425609588623
97,cv13f106_3,6.889662742614746
98,cv20l307_4,6.889444351196289
99,cr15h096_Missing,6.883051872253418
100,cv18j123_2,6.878087043762207
101,cv18j281_5,6.870469093322754
102,cv14g134_3,6.823700428009033
103,cv17i217_7,6.8143157958984375
104,cv14g147_2,6.807437896728516
105,cv18j121_4,6.79803991317749
106,cr17j035_2,6.795929431915283
107,cv12e098_Missing,6.794582366943359
108,cv20l199_2,6.784512042999268
109,cv11d101_8,6.77269983291626
110,cr10c042_6,6.76450777053833
111,cr08a001_1,6.762436866760254
112,cv14g111_4,6.73744010925293
113,cv12e114_4,6.73561954498291
114,cr14g094_1,6.6883769035339355
115,cv16h143_3,6.674359321594238
116,cv19k108_2,6.671844482421875
117,cv12e107_1,6.660030364990234
118,cv19k108_4,6.634950637817383
119,cv18j267_Missing,6.60217809677124
120,cv20l098_Missing,6.591614723205566
121,cv17i218_6,6.568761825561523
122,cr13f001_1,6.558558464050293
123,cr20m096_4,6.551665306091309
124,cv19k123_4,6.544374465942383
125,cv19k126_5,6.543060302734375
126,cv20l221_7,6.531322956085205
127,cr18k039_1,6.51284122467041
128,cv17i207_Missing,6.504239082336426
129,cv16h207_1,6.492725849151611
130,cv17i144_2,6.488783836364746
131,cr15h041_7,6.472820281982422
132,cr16i038_3,6.447477340698242
133,cv13f222_7,6.44536828994751
134,cv09b109_3,6.442229747772217
135,cv18j277_3,6.441841125488281
136,cv17i144_1,6.406693458557129
137,cv10c116_2,6.3888750076293945
138,cv17i159_4,6.388408184051514
139,cv13f207_1,6.372927188873291
140,cv17i146_2,6.3639655113220215
141,cv19k216_Missing,6.360592842102051
142,cv13f147_4,6.295604705810547
143,cv20l217_7,6.270616054534912
144,cv20l242_Missing,6.201962471008301
145,cv19k266_Missing,6.193861484527588
146,cv11d187_7,6.185187339782715
147,cv20l106_2,6.1760077476501465
148,cv14g156_5,6.157679080963135
149,cv20l218_4,6.1571478843688965
150,cv20l109_3,6.149171352386475
151,cv20l148_3,6.121603488922119
152,cv13f199_2,6.1122260093688965
153,cr20m042_Missing,6.111151218414307
154,cv18j266_Missing,6.10651159286499
155,cv17i240_6,6.079339027404785
156,cv18j278_3,6.074460506439209
157,cv20l267_Missing,6.072994709014893
158,cv12e157_3,6.050870895385742
159,cv20l125_2,6.048854351043701
160,cv16h105_3,6.047672748565674
161,cv17i148_3,6.046414852142334
162,cv19k240_7,6.04365348815918
163,cv20l224_0,6.031838417053223
164,cv20l264_0,6.0260090827941895
165,cv20l129_2,6.022918224334717
166,cv16h101_5,6.022411346435547
167,cv19k218_8,6.019842624664307
168,cv19k116_3,6.019516468048096
169,cv14g224_2,6.01336145401001
170,cv20l143_3,6.0110321044921875
171,cr12e092_4,6.010914325714111
172,cv20l103_5,5.98974084854126
173,cv09b143_3,5.988014221191406
174,cv19k221_4,5.985426902770996
175,cv14g216_Missing,5.978804588317871
176,cv18j128_3,5.973136901855469
177,cv17i101_5,5.971161365509033
178,cv17i264_1,5.970951080322266
179,cv16h199_1,5.968802452087402
180,cv19k148_2,5.96279764175415
181,cv19k107_4,5.955141544342041
182,cv20l211_8,5.951640605926514
183,cr17j094_4,5.938425064086914
184,cv17i143_2,5.928393363952637
185,cv14g105_2,5.925422191619873
186,cr19l095_2,5.906249523162842
187,cv16h115_4,5.884087562561035
188,cv09b158_5,5.868430137634277
189,cv19k226_6,5.860983848571777
190,cv19k264_3,5.860426902770996
191,cv20l114_4,5.85869836807251
192,cv11d128_3,5.856990814208984
193,cv16h212_6,5.856634140014648
